'vel:', 0.6, '| ang:', 0.06671465224508451, '| x_e:', 1, '| y_e:', 1, '| x:', 2.5502663667214622, '| y:', 1.2630521401104087, ,'| x_e:', 0.16678663061271126, '| theta:', 0.8275931285128934
'vel:', 0.6, '| ang:', 0.06517620124611363, '| x_e:', 1, '| y_e:', 1, '| x:', 2.590417180057533, '| y:', 1.306742739963726, ,'| x_e:', 0.16294050311528407, '| theta:', 0.8336325032659447
'vel:', 0.6, '| ang:', 0.06363358047037963, '| x_e:', 1, '| y_e:', 1, '| x:', 2.6307197680607746, '| y:', 1.3511336331669206, ,'| x_e:', 0.1590839511759491, '| theta:', 0.8394698684665911
'vel:', 0.6, '| ang:', 0.06217189651111137, '| x_e:', 1, '| y_e:', 1, '| x:', 2.6707499467817555, '| y:', 1.3957449896234984, ,'| x_e:', 0.15542974127777842, '| theta:', 0.8452726002315364
'vel:', 0.6, '| ang:', 0.060715671682495566, '| x_e:', 1, '| y_e:', 1, '| x:', 2.7105238789468977, '| y:', 1.4405915918311323, ,'| x_e:', 0.1517891792062389, '| theta:', 0.8509486940859334
'vel:', 0.6, '| ang:', 0.05930189882001642, '| x_e:', 1, '| y_e:', 1, '| x:', 2.7500391177898247, '| y:', 1.4856592386581977, ,'| x_e:', 0.14825474705004105, '| theta:', 0.8565465615496991
'vel:', 0.6, '| ang:', 0.05791142860336334, '| x_e:', 1, '| y_e:', 1, '| x:', 2.7893039721106194, '| y:', 1.5309502814227267, ,'| x_e:', 0.14477857150840834, '| theta:', 0.8621380795502529
'vel:', 0.6, '| ang:', 0.056515744312082374, '| x_e:', 1, '| y_e:', 1, '| x:', 2.8282971892800197, '| y:', 1.5764394243669013, ,'| x_e:', 0.14128936078020593, '| theta:', 0.8680980671906351
'vel:', 0.6, '| ang:', 0.05496416994160391, '| x_e:', 1, '| y_e:', 1, '| x:', 2.8670336610410403, '| y:', 1.6221779396799716, ,'| x_e:', 0.13741042485400978, '| theta:', 0.8737577478081194
'vel:', 0.6, '| ang:', 0.053522363251684316, '| x_e:', 1, '| y_e:', 1, '| x:', 2.90591378430922, '| y:', 1.668616463961545, ,'| x_e:', 0.13380590812921078, '| theta:', 0.8797099358983936
'vel:', 0.6, '| ang:', 0.051962847844646866, '| x_e:', 1, '| y_e:', 1, '| x:', 2.9437362929641098, '| y:', 1.7143419805257318, ,'| x_e:', 0.12990711961161716, '| theta:', 0.8851436960896548
'vel:', 0.6, '| ang:', 0.05058264312076997, '| x_e:', 1, '| y_e:', 1, '| x:', 2.9816884768581553, '| y:', 1.7607352601645878, ,'| x_e:', 0.12645660780192491, '| theta:', 0.8906111611389982
